Normalised Work Effort Level 1,Adjusted Function Points,Functional Size,Project Elapsed Time,Primary Programming Language,Industry Sector,1st Data Base System,Development Platform,Used Methodology,Development Type,Language Type,Application Group
1968.0,470.0,470.0,5.0,9,6,8,0,0,0,0,0
1828.0,35.0,35.0,18.0,9,5,3,0,2,1,0,0
12970.0,736.0,736.0,15.0,20,5,3,0,2,0,0,0
1183.0,479.0,479.0,5.0,4,6,0,3,0,0,1,0
1044.0,95.0,95.0,10.0,6,11,11,3,2,1,0,0
1716.0,2592.0,2592.0,12.0,20,11,19,0,0,0,0,0
4794.0,153.0,153.0,7.0,5,7,12,2,0,1,0,3
180.0,6.0,6.0,6.0,9,5,3,0,2,0,0,0
1446.0,1023.0,1023.0,2.9,30,6,0,2,0,0,1,0
12498.0,344.0,344.0,3.0,30,6,11,2,0,0,0,0
975.0,107.0,107.0,3.0,30,6,12,2,0,0,1,0
6023.0,696.0,696.0,13.0,22,11,12,2,2,0,1,0
679.0,302.0,302.0,2.0,3,7,9,3,0,1,1,0
8060.0,699.0,538.0,12.0,7,4,12,3,2,0,0,0
822.0,30.0,30.0,4.0,20,0,3,0,0,0,0,0
1512.0,116.0,116.0,3.8,5,7,12,2,0,0,0,0
7150.0,155.0,119.0,12.0,7,4,12,3,2,0,0,0
5880.0,800.0,800.0,24.0,25,10,13,0,1,1,1,0
4855.0,425.0,425.0,3.0,30,6,16,2,0,0,0,0
3748.0,537.0,537.0,4.7,5,7,12,1,0,1,0,0
7119.0,777.0,777.0,20.0,6,5,9,2,2,1,0,2
5864.0,412.0,412.0,20.0,20,5,9,0,2,1,0,0
973.0,348.0,322.0,3.0,18,1,12,1,2,0,1,0
3624.0,194.0,180.0,5.0,9,5,3,0,2,1,0,0
22960.0,2583.0,2583.0,9.1,9,2,12,2,0,1,0,0
8963.0,259.0,259.0,20.0,6,5,3,2,2,1,0,0
6051.0,396.0,396.0,16.0,2,11,3,2,2,1,1,0
1464.0,286.0,265.0,6.0,20,6,3,0,2,0,0,0
2930.0,367.0,367.0,12.0,20,5,3,2,2,0,0,0
2321.0,104.0,100.0,5.0,18,1,12,3,2,0,1,0
6600.0,1307.0,1307.0,5.0,7,0,7,1,0,0,0,0
4054.0,465.0,500.0,13.0,30,1,9,3,2,0,1,0
809.0,144.0,144.0,5.0,20,5,3,0,2,0,0,0
8499.0,445.0,445.0,8.0,9,0,8,0,2,1,0,0
3045.0,231.0,231.0,2.0,30,6,11,2,0,1,0,0
6710.0,113.0,113.0,12.0,9,5,8,0,2,0,0,0
943.0,728.0,650.0,18.0,9,1,3,0,2,0,0,0
850.0,165.0,165.0,2.0,30,6,12,2,0,0,1,0
2786.0,738.0,615.0,7.0,14,3,3,3,2,2,0,0
25837.0,981.0,981.0,6.0,30,6,16,2,0,0,0,0
2202.0,140.0,140.0,3.0,30,6,11,2,0,0,0,0
3153.0,548.0,445.0,6.0,14,1,12,3,2,0,0,0
7496.0,786.0,786.0,8.6,3,11,9,3,0,1,1,0
2648.0,334.0,334.0,9.0,2,5,3,2,2,0,1,0
678.0,239.0,239.0,8.0,26,1,12,3,2,1,1,0
2700.0,227.0,227.0,6.0,9,6,8,0,0,0,0,0
350.0,95.0,95.0,2.1,27,7,12,2,2,0,0,0
3889.0,92.0,92.0,4.0,30,6,11,2,0,1,0,0
966.0,51.0,51.0,3.0,9,6,8,0,0,0,0,0
3287.0,120.0,120.0,7.9,7,7,11,2,0,1,0,3
650.0,527.0,507.0,6.0,4,5,0,3,1,1,1,0
950.0,610.0,575.0,3.0,26,12,12,1,2,1,1,0
6700.0,139.0,139.0,4.0,30,6,16,2,0,0,0,0
835.0,74.0,74.0,4.0,30,7,12,2,0,1,0,0
4326.0,136.0,136.0,5.6,20,0,8,0,0,0,0,0
352.0,133.0,133.0,6.0,3,11,9,3,2,0,1,3
4750.0,528.0,528.0,7.4,30,7,12,3,0,1,1,0
12564.0,1588.0,1588.0,7.1,13,10,12,3,2,1,0,0
1327.0,293.0,293.0,2.5,16,4,4,2,0,1,1,0
5950.0,170.0,170.0,4.5,21,1,12,1,0,1,0,0
1136.0,50.0,50.0,5.0,21,11,12,3,0,0,0,0
3410.0,366.0,366.0,4.0,22,4,12,2,0,1,1,0
57156.0,2824.0,2521.0,12.0,7,4,12,3,2,0,0,0
876.0,405.0,405.0,3.0,24,7,8,0,0,1,0,0
60826.0,1018.0,1018.0,20.0,20,5,3,2,2,1,0,0
3482.0,208.0,208.0,8.0,20,5,3,2,2,0,0,0
398.0,65.0,65.0,1.4,20,0,8,0,0,1,0,0
3114.0,751.0,751.0,2.8,14,5,12,3,2,1,0,0
2660.0,126.0,119.0,10.0,9,5,3,0,2,1,0,0
870.0,77.0,77.0,6.0,20,5,3,0,2,0,0,0
4266.0,3088.0,3088.0,8.0,8,5,2,3,2,0,0,0
440.0,82.0,100.0,3.0,20,12,8,0,2,1,0,0
2009.0,154.0,154.0,4.0,6,5,11,2,2,0,0,0
515.0,121.0,121.0,3.0,9,6,3,0,0,0,0,0
10360.0,327.0,327.0,3.0,30,6,3,0,0,0,0,0
3080.0,120.0,120.0,3.0,30,6,3,0,0,0,0,0
3857.0,1521.0,1521.0,6.0,31,4,10,3,0,1,1,0
4386.0,192.0,192.0,3.0,20,0,3,0,0,1,0,0
742.0,82.0,82.0,2.6,30,2,12,2,0,0,0,0
11830.0,2120.0,2120.0,9.0,30,7,12,2,0,1,1,0
5548.0,235.0,235.0,16.0,20,5,16,0,2,0,0,0
6400.0,1694.0,1694.0,10.9,30,7,12,0,0,1,1,0
19606.0,695.0,695.0,19.0,6,11,3,2,2,0,0,0
5374.0,235.0,235.0,11.0,6,11,3,2,2,1,0,0
381.0,58.0,72.0,2.0,9,5,3,0,2,0,0,0
5329.0,610.0,610.0,16.0,2,5,12,2,2,2,1,2
7352.0,385.0,385.0,3.1,30,6,16,2,0,0,0,0
7368.0,1753.0,1753.0,3.0,14,6,3,3,2,0,0,0
2891.0,430.0,430.0,11.0,14,5,3,2,2,1,0,0
1593.0,827.0,827.0,8.0,6,5,3,2,2,0,0,0
8706.0,494.0,494.0,21.0,6,5,3,3,2,1,0,0
57749.0,6294.0,6294.0,10.0,30,7,12,2,0,1,1,0
8111.0,204.0,229.0,36.0,9,5,8,0,1,2,1,0
2499.0,1369.0,1369.0,3.0,5,1,14,2,0,0,0,0
12149.0,461.0,461.0,17.0,2,12,16,2,2,1,1,0
330.0,182.0,182.0,2.1,19,7,5,2,0,1,1,0
762.0,17.0,17.0,11.0,9,7,16,0,1,0,0,0
4045.0,435.0,435.0,3.9,14,10,12,1,0,1,0,0
6232.0,253.0,253.0,8.0,9,5,3,0,2,1,0,0
640.0,46.0,46.0,2.4,20,0,8,0,0,0,0,0
6685.0,814.0,626.0,12.0,7,4,12,3,2,0,0,0
284.0,45.0,49.0,7.0,9,5,16,0,2,0,0,0
805.0,88.0,88.0,6.0,9,6,8,0,0,0,0,0
2504.0,1236.0,1236.0,16.9,30,6,9,3,0,1,1,0
2811.0,176.0,176.0,2.8,9,6,8,0,0,1,0,0
3558.0,401.0,401.0,9.0,22,5,12,3,2,0,1,0
2396.0,54.0,54.0,2.9,30,6,9,2,0,0,0,0
7602.0,202.0,202.0,8.0,6,5,9,3,2,1,0,0
2982.0,146.0,146.0,10.0,20,5,19,0,2,0,0,0
1524.0,541.0,430.0,6.0,7,1,12,3,2,0,0,2
10004.0,883.0,883.0,13.0,2,5,3,2,2,0,1,0
2762.0,297.0,297.0,3.9,14,10,12,1,0,1,0,0
11949.0,1285.0,1285.0,3.9,14,10,12,1,0,1,0,0
1760.0,60.0,60.0,2.9,9,6,3,0,0,1,0,0
934.0,44.0,44.0,6.0,20,5,3,2,2,0,0,0
2982.0,413.0,413.0,3.0,14,6,8,0,0,0,0,0
1599.0,106.0,106.0,3.0,9,6,3,0,0,0,0,0
5023.0,351.0,316.0,13.0,9,5,3,0,2,1,0,0
686.0,54.0,52.0,1.0,18,1,12,3,2,0,1,0
470.0,245.0,299.0,13.0,30,6,19,3,1,1,1,0
623.0,63.0,57.0,1.0,9,5,3,0,2,1,0,0
647.0,45.0,42.0,6.0,9,5,3,0,2,0,0,0
2337.0,212.0,212.0,11.0,20,5,3,2,2,0,0,0
2933.0,300.0,280.0,10.0,17,5,1,0,1,0,1,0
55860.0,6000.0,6000.0,20.0,9,10,3,0,1,1,0,0
1932.0,234.0,234.0,3.0,29,4,3,0,2,1,1,0
4551.0,249.0,249.0,9.0,30,11,12,2,2,0,0,0
3377.0,779.0,829.0,26.0,9,13,12,1,1,1,0,0
4628.0,279.0,279.0,14.0,2,5,3,2,2,1,1,0
5963.0,344.0,344.0,7.0,20,5,3,2,2,0,0,0
2389.0,358.0,358.0,2.9,30,6,9,2,0,1,1,0
1972.0,146.0,127.0,11.0,6,11,9,3,2,1,0,0
1149.0,245.0,245.0,7.0,30,11,9,3,2,0,0,0
10770.0,1265.0,1265.0,9.0,30,7,12,2,0,1,1,0
26.0,58.0,57.0,2.0,26,1,12,1,2,0,1,0
1090.0,109.0,109.0,6.0,3,5,9,2,2,0,1,0
4044.0,213.0,213.0,6.0,9,0,8,0,2,1,0,0
906.0,244.0,257.0,3.0,30,1,9,3,2,1,1,0
5760.0,329.0,329.0,9.0,6,11,11,2,2,0,0,0
6997.0,244.0,244.0,6.0,20,5,3,0,2,0,0,0
778.0,169.0,169.0,5.0,26,4,9,2,2,0,1,0
13353.0,1475.0,1317.0,12.0,7,4,12,3,2,0,0,0
25482.0,2376.0,2221.0,24.0,26,1,12,1,2,1,1,0
3871.0,10.0,10.0,13.0,20,0,3,0,0,0,0,0
34023.0,1075.0,1075.0,23.0,14,7,3,0,2,1,0,0
7406.0,312.0,312.0,6.0,20,11,3,0,2,0,0,0
237.0,32.0,29.0,1.0,9,5,3,0,2,0,0,0
494.0,90.0,96.0,2.0,9,1,3,3,2,0,0,0
4907.0,111.0,111.0,9.6,30,5,11,2,2,0,0,0
21700.0,500.0,500.0,24.0,9,5,8,2,2,0,0,0
2464.0,327.0,327.0,14.0,30,4,0,3,2,1,0,0
664.0,51.0,51.0,3.0,14,5,12,2,2,1,0,0
2966.0,212.0,212.0,11.0,20,11,3,2,2,0,0,0
3806.0,331.0,331.0,7.0,6,5,3,2,2,0,0,0
616.0,261.0,261.0,3.4,16,7,4,2,0,0,1,0
781.0,158.0,158.0,39.0,9,0,8,0,0,1,0,0
216.0,531.0,531.0,3.0,22,4,12,2,0,0,1,0
13321.0,967.0,967.0,3.0,30,6,16,2,0,0,0,0
4879.0,335.0,335.0,12.0,9,5,8,2,2,0,0,0
1050.0,123.0,123.0,6.0,20,5,3,0,2,0,0,0
1400.0,120.0,120.0,6.0,14,5,12,2,2,1,0,0
9163.0,601.0,601.0,9.6,30,5,11,2,2,0,0,0
7820.0,682.0,682.0,17.0,2,5,3,2,2,0,1,1
684.0,221.0,207.0,8.0,16,5,4,3,2,1,1,0
1000.0,98.0,105.0,5.0,9,5,3,0,2,1,0,0
3921.0,149.0,149.0,8.0,9,5,19,0,1,0,0,0
752.0,560.0,560.0,1.1,9,7,8,0,0,0,0,0
562.0,187.0,201.0,6.0,30,1,0,3,2,1,1,0
2208.0,497.0,497.0,11.5,26,11,12,2,0,0,1,0
5754.0,203.0,203.0,3.0,14,6,8,0,0,0,0,0
2180.0,116.0,116.0,5.0,9,0,8,0,2,1,0,0
1404.0,73.0,73.0,8.0,9,0,8,0,2,0,0,0
1950.0,467.0,467.0,4.0,9,9,3,0,0,0,0,3
14211.0,307.0,307.0,3.0,30,6,16,2,0,0,0,0
6525.0,1557.0,1557.0,5.9,14,7,12,0,0,0,0,0
10576.0,1168.0,1072.0,14.0,30,10,9,3,2,2,1,0
1824.0,107.0,107.0,6.0,14,5,12,2,2,1,0,0
155.0,19.0,19.0,1.9,5,0,12,1,0,0,0,0
2800.0,196.0,196.0,10.0,3,11,3,3,2,0,1,0
2779.0,117.0,117.0,8.0,20,5,3,0,2,0,0,0
4492.0,587.0,587.0,13.0,2,5,3,2,2,0,1,0
8332.0,286.0,337.0,7.0,14,6,3,2,2,0,0,0
5971.0,247.0,247.0,12.0,9,5,8,2,2,0,0,0
1586.0,416.0,389.0,6.0,26,1,12,1,2,0,1,0
4404.0,307.0,307.0,6.0,21,11,12,2,0,1,0,0
331.0,43.0,46.0,4.0,4,5,19,0,1,1,1,0
742.0,496.0,496.0,2.9,16,8,4,2,0,1,1,0
6371.0,473.0,367.0,10.0,9,5,3,0,2,1,0,0
588.0,42.0,39.0,7.0,9,5,3,0,2,1,0,0
1036.0,930.0,930.0,0.6,14,5,12,3,2,0,0,0
392.0,470.0,470.0,1.8,21,7,12,2,2,1,0,0
14992.0,694.0,694.0,4.9,13,0,12,1,0,1,0,0
19306.0,393.0,393.0,10.0,9,5,8,2,2,0,0,0
633.0,74.0,74.0,6.0,20,11,3,0,2,0,0,0
1249.0,230.0,230.0,3.1,5,1,14,2,0,0,0,0
508.0,89.0,89.0,2.1,20,0,8,0,0,0,0,0
7063.0,522.0,522.0,10.0,5,6,3,1,0,1,0,0
3700.0,554.0,554.0,18.0,30,12,3,3,1,1,1,0
1624.0,556.0,556.0,4.0,20,4,8,0,2,0,0,0
11680.0,337.0,337.0,11.0,6,5,3,2,2,0,0,0
234.0,44.0,44.0,2.5,30,0,12,2,0,0,1,0
4451.0,132.0,132.0,4.0,9,6,3,0,0,0,0,0
15729.0,392.0,392.0,28.0,6,5,3,2,2,0,0,2
450.0,201.0,201.0,6.0,30,3,5,2,0,0,1,0
980.0,56.0,56.0,4.0,20,0,3,0,0,0,0,0
2944.0,577.0,577.0,5.0,30,11,3,2,0,1,0,0
737.0,71.0,71.0,6.0,12,0,8,0,2,1,1,0
596.0,110.0,110.0,6.0,30,11,0,3,2,0,1,0
2055.0,119.0,119.0,11.0,20,5,3,2,2,0,0,0
4516.0,264.0,264.0,16.0,6,5,3,2,2,0,0,0
2881.0,925.0,925.0,2.7,14,7,12,0,0,0,0,0
3201.0,920.0,920.0,10.0,30,7,12,2,0,1,1,0
869.0,74.0,80.0,1.0,9,5,3,0,2,0,0,0
2703.0,122.0,121.0,7.0,9,5,3,0,2,1,0,0
1974.0,155.0,155.0,3.0,14,6,8,0,0,0,0,0
1442.0,126.0,126.0,12.0,26,7,12,2,0,0,1,0
3712.0,51.0,51.0,12.0,14,5,12,2,2,1,0,0
764.0,73.0,70.0,3.0,30,1,0,3,2,0,1,3
7350.0,755.0,755.0,24.0,9,10,3,0,1,1,0,0
2187.0,795.0,795.0,9.0,3,5,9,3,2,1,1,0
1536.0,127.0,127.0,6.0,14,5,12,2,2,1,0,0
2194.0,151.0,137.0,3.0,23,1,12,3,2,0,0,3
1716.0,251.0,251.0,2.9,30,6,9,2,0,0,1,0
330.0,100.0,125.0,11.0,20,12,3,0,2,2,0,0
1225.0,1387.0,1387.0,2.7,30,7,12,2,0,1,1,0
3080.0,219.0,219.0,12.0,6,11,3,2,2,0,0,0
395.0,29.0,29.0,6.0,5,0,19,3,0,1,0,0
742.0,246.0,246.0,5.0,14,7,3,3,0,1,0,0
534.0,55.0,58.0,11.0,23,1,12,3,2,0,0,3
2000.0,473.0,473.0,2.0,14,7,12,1,0,1,0,0
300.0,31.0,32.0,2.0,9,5,3,0,2,0,0,0
2038.0,138.0,138.0,3.0,9,5,3,0,2,1,0,0
2119.0,198.0,198.0,10.0,20,5,3,0,2,0,0,0
3631.0,301.0,301.0,12.0,9,0,8,0,2,1,0,0
9292.0,180.0,180.0,3.0,30,6,16,2,0,0,0,0
13151.0,361.0,361.0,24.0,30,11,3,2,2,0,0,0
4184.0,260.0,260.0,9.0,14,5,12,2,2,1,0,0
2803.0,18.0,18.0,3.0,14,6,3,1,0,0,0,0
3436.0,157.0,157.0,2.0,9,6,3,0,0,1,0,0
2761.0,385.0,385.0,7.0,30,0,0,0,2,1,1,0
616.0,124.0,124.0,4.0,9,0,8,0,2,1,0,0
2639.0,264.0,261.0,6.0,30,1,12,1,2,0,1,0
1570.0,177.0,177.0,1.8,30,7,12,2,0,1,1,0
28422.0,2845.0,2845.0,10.0,30,7,12,2,0,1,0,0
19989.0,2509.0,2509.0,10.0,30,7,12,2,0,1,1,0
816.0,381.0,381.0,2.0,24,7,3,0,0,1,0,0
3907.0,489.0,489.0,19.0,2,5,3,2,2,2,1,2
1231.0,95.0,95.0,7.0,12,0,8,0,2,1,1,0
1830.0,94.0,94.0,3.4,14,6,19,3,0,1,0,0
16960.0,1160.0,1160.0,7.1,2,13,12,1,0,0,1,0
666.0,41.0,41.0,5.0,9,5,3,0,2,0,0,0
4742.0,171.0,160.0,9.0,9,5,3,0,2,1,0,0
184.0,98.0,98.0,1.0,14,1,15,3,0,0,0,0
14573.0,3622.0,3622.0,5.0,9,6,8,0,2,0,0,0
5242.0,322.0,299.0,13.0,7,1,12,1,2,0,0,0
6910.0,274.0,274.0,9.0,6,11,3,2,2,1,0,0
1400.0,151.0,116.0,7.0,7,1,12,2,2,0,0,3
19706.0,335.0,335.0,27.0,20,5,3,2,2,0,0,0
1824.0,72.0,72.0,4.0,12,0,8,0,2,1,1,0
8277.0,365.0,365.0,3.0,30,6,16,2,0,0,0,0
2121.0,222.0,222.0,7.0,6,11,3,2,2,0,0,0
781.0,235.0,235.0,4.5,30,3,12,3,0,1,1,0
8442.0,205.0,205.0,12.0,9,5,8,2,2,0,0,0
5639.0,406.0,390.0,7.0,18,1,12,3,2,0,1,0
9808.0,161.0,161.0,8.4,9,6,8,0,0,1,0,0
2218.0,150.0,150.0,5.0,9,6,8,0,0,0,0,0
16570.0,713.0,609.0,8.0,9,5,3,0,2,2,0,0
1073.0,64.0,64.0,1.0,9,0,8,0,2,1,0,0
2274.0,414.0,414.0,8.0,6,5,3,2,2,0,0,0
11022.0,1050.0,938.0,12.0,7,4,12,3,2,0,0,0
64.0,476.0,476.0,6.9,30,4,14,2,0,1,1,0
2973.0,285.0,285.0,8.0,2,5,3,2,2,0,1,0
484.0,155.0,155.0,1.5,16,2,4,2,0,1,1,0
1882.0,153.0,153.0,7.0,32,5,3,2,2,0,1,0
11165.0,307.0,307.0,15.0,30,5,9,2,2,1,0,0
1000.0,182.0,157.0,5.0,26,1,12,1,2,0,1,0
8740.0,545.0,545.0,11.0,20,5,3,0,2,0,0,0
1950.0,298.0,298.0,7.0,21,13,12,2,0,1,0,0
4030.0,281.0,281.0,3.0,22,4,12,2,0,1,1,0
810.0,27.0,27.0,4.0,9,1,3,0,2,0,0,0
165.0,33.0,34.0,2.0,9,5,3,0,2,0,0,0
9261.0,960.0,960.0,7.0,6,5,3,2,2,0,0,0
22460.0,381.0,381.0,12.0,2,5,3,2,2,0,1,0
626.0,242.0,242.0,2.5,3,7,12,3,2,1,1,0
6111.0,223.0,223.0,3.0,30,6,3,0,0,0,0,0
4172.0,331.0,331.0,33.0,11,5,3,2,2,1,1,0
3639.0,124.0,124.0,9.0,20,6,3,0,2,0,0,0
2706.0,121.0,121.0,9.0,20,11,3,2,2,0,0,0
9301.0,455.0,455.0,14.0,20,5,3,2,2,0,0,0
703.0,395.0,395.0,13.0,20,0,3,0,0,0,0,0
5103.0,234.0,234.0,10.0,20,5,3,2,2,0,0,0
3069.0,180.0,180.0,4.0,2,11,3,2,2,0,1,0
694.0,125.0,125.0,6.0,6,4,3,2,2,0,0,0
79.0,29.0,29.0,6.0,5,0,19,3,0,0,0,3
7037.0,399.0,399.0,8.0,15,11,3,2,2,1,0,0
6398.0,167.0,167.0,3.0,30,6,3,0,0,0,0,0
2592.0,115.0,115.0,6.0,5,1,14,1,0,0,0,0
10613.0,499.0,499.0,30.0,9,0,6,0,2,1,0,0
11052.0,149.0,149.0,7.0,14,6,3,1,0,0,0,0
2909.0,746.0,746.0,5.5,30,1,12,2,0,0,1,0
18314.0,2245.0,2245.0,12.0,26,11,12,1,0,1,1,0
6294.0,152.0,152.0,12.1,20,0,8,0,0,0,0,0
1406.0,302.0,302.0,8.4,30,7,12,2,0,1,1,0
2284.0,287.0,287.0,7.0,9,5,3,0,2,1,0,0
1562.0,218.0,218.0,4.9,14,3,12,3,0,1,0,0
423.0,49.0,49.0,7.0,9,6,16,0,0,0,0,0
846.0,117.0,117.0,10.0,11,5,3,2,2,0,1,0
1550.0,254.0,254.0,5.0,6,5,3,2,2,0,0,0
1313.0,98.0,94.0,11.0,26,1,12,1,2,0,1,0
3566.0,211.0,211.0,13.0,0,5,3,3,2,0,1,1
3995.0,74.0,74.0,14.0,6,5,3,3,2,1,0,0
490.0,357.0,357.0,1.8,18,1,12,2,0,1,1,0
34947.0,2550.0,2550.0,18.0,6,5,3,2,2,1,0,0
5138.0,385.0,385.0,3.0,9,6,3,0,0,0,0,0
19163.0,393.0,393.0,20.0,6,5,3,2,2,1,0,0
3112.0,49.0,49.0,4.0,14,6,3,1,0,0,0,0
493.0,160.0,160.0,3.3,10,1,19,2,0,1,1,0
2303.0,463.0,463.0,2.0,30,6,9,2,0,0,1,0
3394.0,2289.0,2289.0,9.0,8,5,2,3,2,0,0,0
806.0,494.0,494.0,4.4,21,7,12,2,0,0,0,0
2202.0,609.0,609.0,6.0,30,7,12,2,0,1,1,0
144.0,95.0,95.0,0.4,14,1,12,3,0,0,0,0
12805.0,284.0,302.0,10.0,9,6,3,0,2,1,0,0
4656.0,621.0,621.0,8.0,14,5,12,2,2,0,0,0
6433.0,825.0,825.0,13.0,2,5,3,2,2,0,1,1
6062.0,147.0,147.0,4.0,30,6,3,0,0,0,0,0
1994.0,234.0,215.0,4.0,5,1,12,3,2,0,0,3
3592.0,484.0,484.0,9.4,5,11,12,2,0,1,0,0
9264.0,582.0,582.0,3.0,30,6,16,2,0,0,0,0
8371.0,291.0,291.0,2.9,30,6,3,0,0,0,0,0
16669.0,712.0,659.0,9.0,9,5,3,0,2,1,0,0
1516.0,136.0,118.0,6.0,14,1,12,1,2,0,0,0
210.0,80.0,80.0,3.0,9,6,19,0,0,0,0,0
13728.0,1956.0,1956.0,12.0,26,11,12,1,0,1,1,0
12341.0,126.0,126.0,16.8,9,5,8,0,2,0,0,0
5232.0,201.0,201.0,4.0,30,6,11,2,0,0,0,0
450.0,36.0,34.0,5.0,9,5,3,0,2,1,0,0
496.0,75.0,75.0,4.0,20,0,8,0,2,0,0,0
5841.0,354.0,354.0,10.0,6,11,9,2,2,2,0,2
5226.0,578.0,578.0,4.0,14,1,12,3,0,1,0,0
3064.0,140.0,140.0,6.0,6,3,9,2,2,0,0,0
4245.0,97.0,97.0,2.0,9,6,3,0,0,0,0,0
3337.0,119.0,119.0,4.0,30,6,3,0,0,0,0,0
2187.0,238.0,238.0,15.0,16,7,4,0,2,0,1,0
3219.0,203.0,203.0,5.0,9,0,8,0,2,0,0,0
2420.0,639.0,639.0,4.9,16,7,4,2,0,1,1,0
4112.0,558.0,461.0,6.0,22,4,0,3,2,1,1,0
465.0,75.0,75.0,4.9,20,0,8,0,2,0,0,0
1292.0,998.0,860.0,8.0,14,1,12,0,2,0,0,0
13390.0,360.0,360.0,12.0,2,5,12,0,2,1,1,1
3430.0,287.0,287.0,9.6,16,7,4,2,0,1,1,0
6124.0,382.0,382.0,11.0,20,5,16,2,2,0,0,0
1757.0,247.0,247.0,6.0,30,0,0,3,1,1,1,0
6809.0,277.0,277.0,9.0,6,11,11,2,2,1,0,0
1520.0,437.0,437.0,3.0,30,6,12,2,0,0,1,0
2100.0,148.0,148.0,12.0,20,11,3,2,2,0,0,0
2200.0,111.0,111.0,13.0,20,5,3,0,2,0,0,0
6057.0,242.0,242.0,10.0,6,5,3,2,2,1,0,0
2479.0,659.0,659.0,5.5,5,7,9,3,2,0,0,0
1100.0,87.0,87.0,12.0,20,11,3,2,2,0,0,0
5080.0,616.0,616.0,8.8,22,10,12,2,0,1,1,0
46101.0,993.0,993.0,87.0,20,5,3,2,2,1,0,0
11078.0,491.0,459.0,15.0,20,4,3,0,2,0,0,0
3195.0,196.0,196.0,6.0,12,0,8,0,2,1,1,0
2372.0,898.0,774.0,6.0,14,1,12,0,2,0,0,0
1246.0,144.0,144.0,6.0,30,5,9,3,2,0,1,0
17550.0,110.0,110.0,2.0,18,3,12,2,0,0,1,0
1727.0,286.0,267.0,6.0,30,0,8,0,1,1,1,0
5419.0,146.0,146.0,5.9,30,6,16,2,0,0,0,0
8012.0,198.0,198.0,11.0,2,11,11,2,2,0,1,0
8490.0,303.0,303.0,6.0,20,5,3,0,2,1,0,0
902.0,122.0,122.0,8.0,2,5,3,2,2,0,1,0
686.0,264.0,264.0,6.0,9,6,8,0,0,0,0,0
1248.0,230.0,230.0,6.0,14,5,12,2,2,1,0,0
