Industry Sector,Application Group,Development Type,Development Platform,Language Type,Primary Programming Language,Functional Size,Adjusted Function Points,Normalised Work Effort Level 1,Project Elapsed Time,1st Data Base System,Used Methodology
Government,Mathematically-Intensive Application,Re-development,Multi,4GL,ABAP,610.0,610.0,5329.0,16.0,ORACLE,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,385.0,385.0,7352.0,3.1,Unspecified,Don't Know
Insurance,Business Application,Enhancement,PC,3GL,Java,1753.0,1753.0,7368.0,3.0,DB2,Yes
Government,Business Application,New Development,Multi,3GL,Java,430.0,430.0,2891.0,11.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,827.0,827.0,1593.0,8.0,DB2,Yes
Government,Business Application,New Development,PC,3GL,C#,494.0,494.0,8706.0,21.0,DB2,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,6294.0,6294.0,57749.0,10.0,ORACLE,Don't Know
Government,Business Application,Re-development,MF,4GL,COBOL,229.0,204.0,8111.0,36.0,IMS,No
Communication,Business Application,Enhancement,Multi,3GL,C,1369.0,1369.0,2499.0,3.0,SYBASE,Don't Know
Utilities,Business Application,New Development,Multi,4GL,ABAP,461.0,461.0,12149.0,17.0,Unspecified,Yes
Manufacturing,Business Application,New Development,Multi,4GL,OutlookVBA,182.0,182.0,330.0,2.1,Exchange,Don't Know
Manufacturing,Business Application,Enhancement,MF,3GL,COBOL,17.0,17.0,762.0,11.0,Unspecified,No
Professional Services,Business Application,New Development,MR,3GL,Java,435.0,435.0,4045.0,3.9,ORACLE,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,253.0,253.0,6232.0,8.0,DB2,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,46.0,46.0,640.0,2.4,IMS,Don't Know
Financial,Business Application,Enhancement,PC,3GL,C++,626.0,814.0,6685.0,12.0,ORACLE,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,49.0,45.0,284.0,7.0,Unspecified,Yes
Insurance,Business Application,Enhancement,MF,3GL,COBOL,88.0,88.0,805.0,6.0,IMS,Don't Know
Insurance,Business Application,New Development,PC,4GL,Visual Basic,1236.0,1236.0,2504.0,16.9,MS SQL,Don't Know
Insurance,Business Application,New Development,MF,3GL,COBOL,176.0,176.0,2811.0,2.8,IMS,Don't Know
Government,Business Application,Enhancement,PC,4GL,PowerBuilder,401.0,401.0,3558.0,9.0,ORACLE,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,54.0,54.0,2396.0,2.9,MS SQL,Don't Know
Government,Business Application,New Development,PC,3GL,C#,202.0,202.0,7602.0,8.0,MS SQL,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,146.0,146.0,2982.0,10.0,Yes,Yes
Communication,Mathematically-Intensive Application,Enhancement,PC,3GL,C++,430.0,541.0,1524.0,6.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,883.0,883.0,10004.0,13.0,DB2,Yes
Professional Services,Business Application,New Development,MR,3GL,Java,297.0,297.0,2762.0,3.9,ORACLE,Don't Know
Professional Services,Business Application,New Development,MR,3GL,Java,1285.0,1285.0,11949.0,3.9,ORACLE,Don't Know
Insurance,Business Application,New Development,MF,3GL,COBOL,60.0,60.0,1760.0,2.9,DB2,Don't Know
Government,Business Application,Enhancement,Multi,3GL,PL/I,44.0,44.0,934.0,6.0,DB2,Yes
Insurance,Business Application,Enhancement,MF,3GL,Java,413.0,413.0,2982.0,3.0,IMS,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,106.0,106.0,1599.0,3.0,DB2,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,316.0,351.0,5023.0,13.0,DB2,Yes
Communication,Business Application,Enhancement,PC,4GL,Oracle,52.0,54.0,686.0,1.0,ORACLE,Yes
Insurance,Business Application,New Development,PC,4GL,Visual Basic,299.0,245.0,470.0,13.0,Yes,No
Government,Business Application,New Development,MF,3GL,COBOL,57.0,63.0,623.0,1.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,42.0,45.0,647.0,6.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,212.0,212.0,2337.0,11.0,DB2,Yes
Government,Business Application,Enhancement,MF,4GL,NATURAL,280.0,300.0,2933.0,10.0,ADABAS,No
Professional Services,Business Application,New Development,MF,3GL,COBOL,6000.0,6000.0,55860.0,20.0,DB2,No
Financial,Business Application,New Development,MF,4GL,Unspecified,234.0,234.0,1932.0,3.0,DB2,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,Visual Basic,249.0,249.0,4551.0,9.0,ORACLE,Yes
Wholesale & Retail,Business Application,New Development,MR,3GL,COBOL,829.0,779.0,3377.0,26.0,ORACLE,No
Government,Business Application,New Development,Multi,4GL,ABAP,279.0,279.0,4628.0,14.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,344.0,344.0,5963.0,7.0,DB2,Yes
Insurance,Business Application,New Development,Multi,4GL,Visual Basic,358.0,358.0,2389.0,2.9,MS SQL,Don't Know
Service Industry,Business Application,New Development,PC,3GL,C#,127.0,146.0,1972.0,11.0,MS SQL,Yes
Service Industry,Business Application,Enhancement,PC,3GL,Visual Basic,245.0,245.0,1149.0,7.0,MS SQL,Yes
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,1265.0,1265.0,10770.0,9.0,ORACLE,Don't Know
Communication,Business Application,Enhancement,MR,4GL,SQL,57.0,58.0,26.0,2.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,4GL,ASP,109.0,109.0,1090.0,6.0,MS SQL,Yes
Banking,Business Application,New Development,MF,3GL,COBOL,213.0,213.0,4044.0,6.0,IMS,Yes
Communication,Business Application,New Development,PC,4GL,Visual Basic,257.0,244.0,906.0,3.0,MS SQL,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,C#,329.0,329.0,5760.0,9.0,No,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,244.0,244.0,6997.0,6.0,DB2,Yes
Financial,Business Application,Enhancement,Multi,4GL,SQL,169.0,169.0,778.0,5.0,MS SQL,Yes
Financial,Business Application,Enhancement,PC,3GL,C++,1317.0,1475.0,13353.0,12.0,ORACLE,Yes
Communication,Business Application,New Development,MR,4GL,SQL,2221.0,2376.0,25482.0,24.0,ORACLE,Yes
Banking,Business Application,Enhancement,MF,3GL,PL/I,10.0,10.0,3871.0,13.0,DB2,Don't Know
Manufacturing,Business Application,New Development,MF,3GL,Java,1075.0,1075.0,34023.0,23.0,DB2,Yes
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,312.0,312.0,7406.0,6.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,29.0,32.0,237.0,1.0,DB2,Yes
Communication,Business Application,Enhancement,PC,3GL,COBOL,96.0,90.0,494.0,2.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,Visual Basic,111.0,111.0,4907.0,9.6,No,Yes
Government,Business Application,Enhancement,Multi,3GL,COBOL,500.0,500.0,21700.0,24.0,IMS,Yes
Financial,Business Application,New Development,PC,3GL,Visual Basic,327.0,327.0,2464.0,14.0,ACCESS,Yes
Government,Business Application,New Development,Multi,3GL,Java,51.0,51.0,664.0,3.0,ORACLE,Yes
Service Industry,Business Application,Enhancement,Multi,3GL,PL/I,212.0,212.0,2966.0,11.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,331.0,331.0,3806.0,7.0,DB2,Yes
Manufacturing,Business Application,Enhancement,Multi,4GL,Lotus Notes,261.0,261.0,616.0,3.4,Domino,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,158.0,158.0,781.0,39.0,IMS,Don't Know
Financial,Business Application,Enhancement,Multi,4GL,PowerBuilder,531.0,531.0,216.0,3.0,ORACLE,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,967.0,967.0,13321.0,3.0,Unspecified,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,335.0,335.0,4879.0,12.0,IMS,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,123.0,123.0,1050.0,6.0,DB2,Yes
Government,Business Application,New Development,Multi,3GL,Java,120.0,120.0,1400.0,6.0,ORACLE,Yes
Government,Business Application,Enhancement,Multi,3GL,Visual Basic,601.0,601.0,9163.0,9.6,No,Yes
Government,Infrastructure Software,Enhancement,Multi,4GL,ABAP,682.0,682.0,7820.0,17.0,DB2,Yes
Government,Business Application,New Development,PC,4GL,Lotus Notes,207.0,221.0,684.0,8.0,Domino,Yes
Government,Business Application,New Development,MF,3GL,COBOL,105.0,98.0,1000.0,5.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,COBOL,149.0,149.0,3921.0,8.0,Yes,No
Manufacturing,Business Application,Enhancement,MF,3GL,COBOL,560.0,560.0,752.0,1.1,IMS,Don't Know
Communication,Business Application,New Development,PC,4GL,Visual Basic,201.0,187.0,562.0,6.0,ACCESS,Yes
Service Industry,Business Application,Enhancement,Multi,4GL,SQL,497.0,497.0,2208.0,11.5,ORACLE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,Java,203.0,203.0,5754.0,3.0,IMS,Don't Know
Banking,Business Application,New Development,MF,3GL,COBOL,116.0,116.0,2180.0,5.0,IMS,Yes
Banking,Business Application,Enhancement,MF,3GL,COBOL,73.0,73.0,1404.0,8.0,IMS,Yes
Mining,Real-Time Application,Enhancement,MF,3GL,COBOL,467.0,467.0,1950.0,4.0,DB2,Don't Know
Insurance,Business Application,Enhancement,Multi,3GL,Visual Basic,307.0,307.0,14211.0,3.0,Unspecified,Don't Know
Manufacturing,Business Application,Enhancement,MF,3GL,Java,1557.0,1557.0,6525.0,5.9,ORACLE,Don't Know
Professional Services,Business Application,Re-development,PC,4GL,Visual Basic,1072.0,1168.0,10576.0,14.0,MS SQL,Yes
Government,Business Application,New Development,Multi,3GL,Java,107.0,107.0,1824.0,6.0,ORACLE,Yes
Banking,Business Application,Enhancement,MR,3GL,C,19.0,19.0,155.0,1.9,ORACLE,Don't Know
Service Industry,Business Application,Enhancement,PC,4GL,ASP,196.0,196.0,2800.0,10.0,DB2,Yes
Government,Business Application,Enhancement,MF,3GL,PL/I,117.0,117.0,2779.0,8.0,DB2,Yes
Government,Business Application,Enhancement,Multi,4GL,ABAP,587.0,587.0,4492.0,13.0,DB2,Yes
Insurance,Business Application,Enhancement,Multi,3GL,Java,337.0,286.0,8332.0,7.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,COBOL,247.0,247.0,5971.0,12.0,IMS,Yes
Communication,Business Application,Enhancement,MR,4GL,SQL,389.0,416.0,1586.0,6.0,ORACLE,Yes
Service Industry,Business Application,New Development,Multi,3GL,PL/SQL,307.0,307.0,4404.0,6.0,ORACLE,Don't Know
Government,Business Application,New Development,MF,4GL,Access,46.0,43.0,331.0,4.0,Yes,No
Medical & Health Care,Business Application,New Development,Multi,4GL,Lotus Notes,496.0,496.0,742.0,2.9,Domino,Don't Know
Government,Business Application,New Development,MF,3GL,COBOL,367.0,473.0,6371.0,10.0,DB2,Yes
Government,Business Application,New Development,MF,3GL,COBOL,39.0,42.0,588.0,7.0,DB2,Yes
Government,Business Application,Enhancement,PC,3GL,Java,930.0,930.0,1036.0,0.6,ORACLE,Yes
Manufacturing,Business Application,New Development,Multi,3GL,PL/SQL,470.0,470.0,392.0,1.8,ORACLE,Yes
Banking,Business Application,New Development,MR,3GL,HTML,694.0,694.0,14992.0,4.9,ORACLE,Don't Know
Government,Business Application,Enhancement,Multi,3GL,COBOL,393.0,393.0,19306.0,10.0,IMS,Yes
Service Industry,Business Application,Enhancement,MF,3GL,PL/I,74.0,74.0,633.0,6.0,DB2,Yes
Communication,Business Application,Enhancement,Multi,3GL,C,230.0,230.0,1249.0,3.1,SYBASE,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,89.0,89.0,508.0,2.1,IMS,Don't Know
Insurance,Business Application,New Development,MR,3GL,C,522.0,522.0,7063.0,10.0,DB2,Don't Know
Utilities,Business Application,New Development,PC,4GL,Visual Basic,554.0,554.0,3700.0,18.0,DB2,No
Financial,Business Application,Enhancement,MF,3GL,PL/I,556.0,556.0,1624.0,4.0,IMS,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,337.0,337.0,11680.0,11.0,DB2,Yes
Banking,Business Application,Enhancement,Multi,4GL,Visual Basic,44.0,44.0,234.0,2.5,ORACLE,Don't Know
Insurance,Business Application,Enhancement,MF,3GL,COBOL,132.0,132.0,4451.0,4.0,DB2,Don't Know
Government,Mathematically-Intensive Application,Enhancement,Multi,3GL,C#,392.0,392.0,15729.0,28.0,DB2,Yes
Electronics & Computers,Business Application,Enhancement,Multi,4GL,Visual Basic,201.0,201.0,450.0,6.0,Exchange,Don't Know
Banking,Business Application,Enhancement,MF,3GL,PL/I,56.0,56.0,980.0,4.0,DB2,Don't Know
Service Industry,Business Application,New Development,Multi,3GL,Visual Basic,577.0,577.0,2944.0,5.0,DB2,Don't Know
Banking,Business Application,New Development,MF,4GL,EASYTRIEVE,71.0,71.0,737.0,6.0,IMS,Yes
Service Industry,Business Application,Enhancement,PC,4GL,Visual Basic,110.0,110.0,596.0,6.0,ACCESS,Yes
Government,Business Application,Enhancement,Multi,3GL,PL/I,119.0,119.0,2055.0,11.0,DB2,Yes
Government,Business Application,Enhancement,Multi,3GL,C#,264.0,264.0,4516.0,16.0,DB2,Yes
Manufacturing,Business Application,Enhancement,MF,3GL,Java,925.0,925.0,2881.0,2.7,ORACLE,Don't Know
Manufacturing,Business Application,New Development,Multi,4GL,Visual Basic,920.0,920.0,3201.0,10.0,ORACLE,Don't Know
