ISBSG Project ID;Data Quality Rating;UFP rating;Year of Project;Industry Sector;Organisation Type;Application Group;Application Type;Development Type;Development Platform;Language Type;Primary Programming Language;Count Approach;Functional Size;Relative Size;Adjusted Function Points;Value Adjustment Factor;Normalised Work Effort Level 1;Normalised Work Effort;Summary Work Effort;Normalised Level 1 PDR (ufp);Normalised PDR (ufp);Pre 2002 PDR (afp);Defect Density;Speed of Delivery;Manpower Delivery Rate;Project Elapsed Time;Project Inactive Time;Implementation Date;Project Activity Scope;Effort Plan;Effort Specify;Effort Design;Effort Build;Effort Test;Effort Implement;Effort Unrecorded;Minor Defects;Major Defects;Extreme Defects;Total Defects Delivered;Business Area Type;Software Process CMM;Software Process CMMI;Software Process SPICE;Software Process ISO;Software Process TICKIT;Software Process Other;Package Customisation;Degree of Customisation;Architecture;Client Server?;Client Roles;Server Roles;Type of Server;Client/Server Description;Web Development;Development Methodologies;Development Techniques;JAD Method Used;Prototyping Used;Planning Documents;Specification Documents;Specification Techniques;Design Documents;Design Techniques;Build Products;Build Activity;Test Documents;Test Activity;Implement Documents;Implement Activity;Functional Sizing Technique;FP Standard;FP Standards All;Reference Table Approach;1st Hardware;1st Language;1st Operating System;Integrated Development Environment;1st Debugging Tool;1st Data Base System;1st Component Server;1st Web Server;1st Message Server;1st Other Platform;2nd Hardware;2nd Language;2nd Operating System;2nd Data Base System;2nd Component Server;2nd Web Server;2nd Message Server;2nd Other Platform;CASE Tool Used;Used Methodology;How Methodology Acquired;User Base - Business Units;User Base - Locations;User Base - Distinct Users;User Base - Concurrent Users;Intended Market;Target Platform;Device Embedded;Recording Method;Resource Level;Team Size Group;Max Team Size;Average Team Size;Ratio of Project Work Effort to Non-Project Activity;Percentage of Uncollected Work Effort;Input count;Output count;Enquiry count;File count;Interface count;Added count;Changed count;Deleted count;COSMIC Entry;COSMIC Exit;COSMIC Read;COSMIC Write;Lines of Code;Lines of Code not Statements;Other Size Units
10047;B;A;2002;Wholesale & Retail;"Ordering;";Business Application;"Stock control & order processing;";Enhancement;MF;3GL;C;IFPUG 4+;730;5. M2;832;1,14;20975;20975;20975;28,7;28,7;25,2;;;;;;oct-02;;;;;;;;20975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;"UNIX;";"C;C++;COBOL;COBOL II;Java;HTML;PL/I;SQL;Calibrated;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10052;B;A;2002;Professional Services;"Sales & Marketing;";Business Application;"Trading;";Enhancement;;;ColdFusion;IFPUG 4+;179;4. M1;183;1,02;789;789;789;4,4;4,4;4,3;;;;;;nov-02;;;;;;;;789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"ColdFusion;HTML;SQL;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10054;C;B;1998;Manufacturing;"Manufacturing;";Business Application;"Management Information System;";Enhancement;MR;4GL;Oracle;IFPUG 4+;198;4. M1;198;;2753;2753;2560;13,9;13,9;12,9;;39,6;;5;0;;"Planning;Specification;Build;Test;Implement;";320;480;;800;960;;0;;;;;"Engineering;";;;;;;;No;;Stand alone;;;;;;;;"Data Modelling;Regression Testing;";;;;;;;;;;;;;;;not given;;;"AViiON;";"Oracle Forms;";"DG/UX;";;Don't Know;"Oracle;";;;;;;;;;;;;;Don't Know;No;;;;;;"External for external business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10056;B;A;2002;Communication;"Voice Provisioning;";;"Voice Provisioning;";Enhancement;;3GL;C;IFPUG 4+;114;4. M1;135;1,18;7290;7290;7290;63,9;63,9;54;;;;;;abr-02;;;;;;;;7290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.1;"IFPUG 4.1;";;;"C;C++;ASP;Java;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10059;B;;2006;Service Industry;"Government;Community Services;";Business Application;"Customer billing/relationship management;";New Development;;3GL;C#;COSMIC;568;5. M2;568;;7936;7936;5873;14;14;10,3;;37,9;;15;1;01-jun-06;"Design;Build;Test;";;;1087;3995;791;;0;;;;;;;;;;;;;;;;;;;;;"Multifunctional Teams;";"Data Modelling;Process Modelling;";;;"Budget;Business Case;Feasibility Study;Project Schedule;Proposal/Tender;Quality Plan;Resource Plan;Risk Analysis;";"System Concept Document;Requirements Specification;Functional Specification;Logical Data/ER Model;";;"System Architecture Spec;Technical Specification;Detailed Design Documents;";;"Source Code/Objects;Database Objects;Unit Test Plans/Designs;";;"Test Plans/Designs;Test Scripts/Harnesses;Test Data;Incident/Defect Lists;";;"Installation Procedures;Release Description/Notes;Incident/Defect Lists;End user Manual or Help;";;;COSMIC 2.2;"COSMIC 2.2;";;;"C#;.Net;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Recorded work on project tasks each day;1;;;;;;;;;;;;;;;;;;;;
10062;B;B;2007;Insurance;"Insurance;";;;Enhancement;MF;3GL;PL/I;FiSMA;;5. M2;401;;4321;4321;4321;;;10,8;;;;15,2;0,17;30-jun-07;;;;;;;;4321;;;;;;;;;;;;;;Stand alone;;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"MAINFRAME;";"PL/I;";;;;;;;;;;;;;;;;;;Yes;;;;jun-50;;"In-house for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10063;B;A;1999;Manufacturing;"Manufacturing;";Business Application;"Customer billing/relationship management;";New Development;Multi;4GL;Visual Basic;IFPUG 4+;849;5. M2;849;;2499;2499;1874;2,9;2,9;2,2;;160,2;;5,3;0;24-mar-99;"Planning;Specification;Build;";;;;;;;1874;;;;;"Don't Know;";;;;;;;No;;Multi-tier / Client server;Yes;;;;"C/S;";;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MR;";"VB;";"UNIX;Windows 98;";;;"Oracle;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;under 5%;;;;;;;;;;;;;;;
10066;B;;2006;Banking;"Banking;";Business Application;"Financial transaction process/accounting;";Enhancement;PC;3GL;Visual Basic;COSMIC;108;4. M1;108;;1402;1402;1276;13;13;11,8;;21,2;;5,1;;01-feb-06;;;0;0;1254;0;22;0;;;;;;;CMMI Level-1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";COSMIC 3.0;"COSMIC 3.0;";;;"Visual Basic;";"Windows;";;;;;;;;;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10067;B;;2003;Financial;"Financial, Property & Business Services;";;;Enhancement;;3GL;COBOL;LOC;;;;;60838;60838;60838;;;;;;;9;0;30-may-03;"Full Life Cycle;";;13873;6370;29656;;10206;733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"COBOL / COBOL II / COBOL III 77%;EZTRIEVE / EZTRIEVE PLUS 10%;JCL 10%;Visual Basic 2%;Oracle (Store Procedures) 1%;";;;;;;;;;;;;;;;;;;Yes;;;;;65;;;;Staff hours (recorded);1;81-90;87;;;;;;;;;;;;;;;;47.250;;
10074;B;A;1997;;;;;Enhancement;;;;IFPUG 4+;460;5. M2;460;1;2253;2253;1667;4,9;4,9;3,6;;115;23;4;0;oct-97;"Planning;Build;Test;";427;;;882;358;;0;;;;;;;;;;;;Don't Know;;;;;;;;;;;;;;;;;;;;;;;;"Wholly manual;";"CPM4.0;Addendum to existing standards;";"CPM4.0;Addendum to existing standards;";"Don't Know;";;;;;;;;;;;;;;;;;;;Don't Know;Don't Know;;;;;;;;;Staff hours (recorded);1;05-ago;5;;;;;;;;;;;;;;;;;;
10075;A;B;1994;Financial;"Financial, Property & Business Services;";Business Application;"Office Information System;";New Development;PC;4GL;SQL;IFPUG 4+;1502;6. L;1587;;6020;7490;7490;4;5;4,7;8;375,5;53,6;4;;jun-94;;;;;;;;6020;6;6;;12;"Financial (excluding Banking);";;;;;;;No;;Stand alone;;;;;;;"Joint Application Development (JAD);Multifunctional Teams;Rapid Application Development (RAD);Timeboxing;";"Data Modelling;Prototyping;";Yes;Yes;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";;"IBM PC;";"GUPTA SQL Windows;";"DOS;";;;"GUPTA SQLBASE;";;;;;;;;;;;;;No;Yes;"Developed In-house;";1;1;;>5;"In-house for internal business unit;";;;'Productive' time only (recorded);4;05-ago;7;;;;774;260;340;128;0;1502;;;;;;;;;
10076;B;C;2003;Insurance;"Insurance;";;;New Development;MF;3GL;PL/I;FiSMA;;3. S;66;;507;507;507;;;7,7;;;;17;;31-oct-03;;;;;;;;507;;;;;;;;;;;;;;;;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Mainframe;";"PL/I;";;;;;;;;;;;;;;;;;;Yes;;;;02-may;;"Outsourced for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10080;B;A;2004;;;;;Enhancement;;4GL;PowerBuilder;IFPUG 4+;46;3. S;56;1,21;1009;1009;1009;21,9;21,9;18;;25,6;;1,8;0;;;;;;;;;1009;;;;;;;;;;;;;;Client server;Yes;;;;"C/S;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"PowerBuilder;Shell;C;";;;;;;;;"C/S;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10085;A;B;2010;Electronics & Computers;"Computers & Software;";;;Enhancement;MR;4GL;ABAP;IFPUG 4+;416;5. M2;424;1,01;9205;9205;9205;22,1;22,1;21,7;0;59,4;2,1;7;;25-ene-10;;327;362;1000;4700;2038;778;0;;;;0;;;;;;;;;;Client server;Yes;;;;;;;;;;;;;;;;"Unit Testing;";;"Integration Testing;";;;;IFPUG 4.2;"IFPUG 4.2;";;"Unix Server;";"ABAP;";"z/OS;";;;Yes;;;;;;;;;;;;;;;;;;50;;;;;Staff hours (recorded);1;21-30;28;;;;;;;;;;;;;;;;;;
10090;B;C;2004;Financial;"Financial, Property & Business Services;";Business Application;"Financial transaction process/accounting;Client Server;";Enhancement;Multi;4GL;;IFPUG 4+;;6. L;2533;;2525;2525;2525;;;1;;;;8,4;0;09-jun-04;;;;;;;;2525;;;;;;;;;;;;;;Client server;Yes;;;;"Client Server;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Client/server;";"4GL;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10095;B;C;2002;Insurance;"Insurance;";;;New Development;Multi;ApG;COOL:Gen;FiSMA;;5. M2;400;;150;150;150;;;0,4;;;;5;1;31-dic-02;"Planning;Specification;Design;Build;Test;Implement;";;10;20;30;40;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;"Functional sizing;";;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Multi Platform;";"COOL:Gen;";;;;;;;;;;;;;;;;;;Yes;;;;;;"In-house for internal business unit;";;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10096;B;B;2005;Insurance;"Insurance;";;;Enhancement;Multi;4GL;;FiSMA;;2. XS;22;;134;134;134;;;6,1;;;;3;;20-may-05;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Automated by a tool;";FiSMA;"FiSMA;";;"Multi Platform;";"4GL;";;;;;;;;;;;;;;;;;;Yes;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10104;B;A;2004;;;;;Enhancement;;4GL;Oracle;IFPUG 4+;7;1. XXS;8;1,1;396;396;396;56,6;56,6;49,5;;3,7;;1,9;0;;;;;;;;;396;;;;;;;;;;;;;;Client server;Yes;;;;"C/S;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;;"Oracle;";;;;;;;;"C/S;";;;;;;;;;;;;;;;;;;;Staff hours (recorded);1;;;;;;;;;;;;;;;;;;;;
10116;B;B;1999;;;Business Application;"Management Information System;";Enhancement;MR;;;IFPUG 4+;779;5. M2;779;;;33387;25040;;42,9;32,1;;;;;;;"Planning;Build;Test;Implement;";;;;;;;;;;;;;;;;;;;No;;Client server;Yes;;;;;;;;;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";;"DEC VAX;";;"MVS;";;Don't Know;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);4;;;;;;;;;;;;;;;;;;;;
10132;B;B;2010;Manufacturing;"Manufacturing;";Business Application;"Cars selling;";Enhancement;MR;3GL;Java;IFPUG 4+;260;4. M1;260;;;3480;3202;;13,4;12,3;0;81,3;;3,2;;15-sep-10;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Outbound Logistics;";;;;;;;No;;Client server;Yes;;;"Client server;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"Java;JEE;";"UNIX;";;;"Oracle;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"Purchased;Good relationship;";;;Staff hours (recorded);3;;;;;;;;;;;;;;;;;;;;
10135;B;C;1998;Communication;"Telecommunication;";Business Application;"Transaction/Production System;";Enhancement;;4GL;Visual Basic;IFPUG 4+;;4. M1;204;;7781;9375;7781;;;38,1;;;;3;;oct-98;"Specification;Build;Test;";;;;;;;7781;;;;;;;;;;;;;;Client server;Yes;;;;;;;;;;;;;;;;;;;;;;IFPUG 4;"IFPUG 4;";;;"Visual Basic;";;;;;;;;;;;;;;;;;No;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);1;;;;;;36;80;48;10;0;174;0;0;;;;;;;
10136;B;B;2004;;;Business Application;"Financial application area;";New Development;Multi;4GL;;IFPUG 4+;83;3. S;83;;855;855;855;10,3;10,3;10,3;24,1;18,4;;4,5;;prior to Feb-2004;;;;;;;;855;;;;2;;;;;;;;;;Multi-tier / Client server;Yes;;;;"Client Server;";;;;;;;;;;;;;;;;;;IFPUG;"IFPUG;";;"Client/server;";"4GL;";;;;"Interactive;";;;;"Average Complexity;";;;;;;;;;;Yes;"Traditional;";;;;;;;;Staff hours (derived);1;;;;;;;;;;;;;;;;;;;;
10139;B;A;1999;;;Business Application;"Transaction/Production System;";Enhancement;MF;3GL;COBOL;IFPUG 4+;80;3. S;90;1,12;3199;3199;2879;40;40;32;;5,8;1,7;13,7;0;16-may-99;;;153;;1961;510;255;0;;;;;;;;;;;;No;;Multi-tier;No;;;;;;;;;;;;;;;;;;;;;;IFPUG 4.0;"IFPUG 4.0;";;"Mainframe 50%;Midrange 20%;PC 30%;";"MVS COBOL;";"MVS;";;;"DB2;";;;;;;;;;;;;;No;Yes;"Developed In-house;";;;;;;;;Staff hours (recorded);1;03-abr;3,5;;;;;;;;;80;0;0;;;;;;;
10143;A;A;1998;Government;"Public Administration;Community Services;Insurance;";Business Application;"Electronic Data Interchange;";New Development;MF;3GL;COBOL;IFPUG 4+;243;4. M1;250;1,03;2924;3249;2924;12;13,4;11,7;8,2;30,4;3,8;8;;jul-98;"Specification;Build;Test;Implement;";;;;;1682;;1242;;2;;2;"Insurance;";;;;;;;;;Client server;Yes;;;"LAN Based;";"Presentation & Logic on server;";;;"Data Modelling;Process Modelling;";;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4.0;"IFPUG 4.0;";"Combined all tables into a single file;";"IBM 390;";"COBOL;";"MVS;";;"Viasoft Debugging;";"DB2;";;;;;;;;;;;;;Yes;Yes;"Developed In-house;";1;7;;;"In-house for external business unit;";;;'Productive' time only (recorded);1;05-ago;8;3;70%;Missing 30% For support and Business Users;;;;;;;;;;;;;;;
10145;B;B;2011;Manufacturing;"Manufacturing;";Mathematically Intensive Application;"Computing of the thermodynamic process;";Enhancement;MR;4GL;MATLAB;IFPUG 4+;99;3. S;99;;;870;800;;8,8;8,1;0;11;;9;;05-feb-11;"Specification;Design;Build;Test;Implement;";;;;;;;;;;;0;"Product, Process & Design;";;;;;;;Yes;0%;Stand alone;No;;;"Stand alone;";;;;;;;"Budget;Project Schedule;Proposal/Tender;";"Functional Specification;Requirements Specification;Use Case Model;External/System Interface Specifications;";;;;"Source Code/Objects;Database Objects;";"Unit Testing;Software Integration;";"Test Plans/Designs;Incident/Defect Lists;Test Data;";;;;"Wholly manual;";Addendum to existing standards;"IFPUG 4.1;Addendum to existing standards;";;;"MATLAB;";"Unix;";;;"MATLAB;";;;;;;;;;;;;;;Yes;"Developed In-house;";;;;;"In House;Medium relationship;";;;Staff hours (recorded);;;;;;;;;;;;;;;;;;;;;
10151;B;A;1994;Banking;"Banking;";Business Application;"Transaction/Production System;";New Development;MF;4GL;EASYTRIEVE;IFPUG 4+;174;4. M1;174;1;2288;2288;1876;13,1;13,1;10,8;;24,9;12,4;7;0;may-94;;90;720;;1043;;23;0;;;;;"Banking;";;;;;;;No;;;Don't Know;;;;;;;"Data Modelling;";;;;;;;;;;;;;;"Manual supported by a tool;";IFPUG 4;"IFPUG 4;";"Counted each table as a logical file;";"IBM 3090;";"COBOL;EASYTRIEVE;";"MVS ESA;";;No;"IMS;";;;;;;;;;;;;;Yes;Yes;"Combined Developed/Purchased;";2;5;;5;"In-house for internal business unit;";;;Staff hours (recorded);1;2;2;1;;;54;82;19;14;5;174;;;;;;;;;
10154;B;A;1999;Insurance;"Insurance;";Business Application;"Financial transaction process/accounting;";New Development;MF;3GL;COBOL;IFPUG 4+;152;4. M1;152;;2569;2569;2389;16,9;16,9;15,7;;38;;4;0;31-jul-99;"Planning;Specification;Build;Test;";;;;;;;2389;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"COBOL II;";"MVS;";;;"IMS;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (derived);1;;;;100%;under 5%;24;32;19;21;56;152;;;;;;;;;
10159;B;A;2000;Banking;"Banking;";Business Application;"Financial transaction process/accounting;";Enhancement;MF;3GL;PL/I;IFPUG 4+;4;1. XXS;4;;145;145;109;36,3;36,3;27,3;;40;;0,1;0;09-nov-00;"Planning;Specification;Build;";;;;;;;109;;;;;"Don't Know;";;;;;;;No;;;Don't Know;;;;;;"Waterfall (includes Linear Processing);";;;;;;;;;;;;;;;;Addendum to existing standards;"Addendum to existing standards;";"Don't Know;";"MF;";"PL/I;";"MVS ESA;";;;"IMS/DB,DC;";;;;;;;;;;;;;No;Don't Know;;;;;;;;;Staff hours (recorded);1;;;;100%;Unable to estimate;0;4;0;0;0;0;4;0;;;;;;;
